spot,ville,region,url
Port Rhu,Quiberon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/port-rhu-quiberon-s1172.html
No spot name,Quiberon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/quiberon-s1073.html
St Lunaire,St Briac/mer,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/saint-lunaire-s1096.html
Tronoën,St Jean Trolimon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/tronoen-s1116.html
Plage Du Sillon,St Malo,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/plage-sillon-s1135.html
Pors Ar Vag,St Nic,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/pors-ar-vag-s1148.html
No spot name,St Pabu,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/saint-pabu-s1140.html
Le Dossen,Santec,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/le-dossen-s1101.html
No spot name,Santec,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/santec-s102805.html
Les Donnants,Sauzon,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/les-donnants-sauzon-s1175.html
La Mauvaise Grève,Sibiril,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/la-mauvaise-greve-s1138.html
Trestel,Trevou Treguignec,Bretagne,https://www.surf-report.com/meteo-surf/meteo-surf/trestel-trevou-treguignec-s1085.html
No spot name,La Baule Escoublac,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/la-baule-escoublac-s1033.html
La Govelle,Le Pouliguen,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/la-govelle-s1036.html
No spot name,Pornic,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/pornic-s1179.html
La Courance,Pornichet,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/la-courance-s1176.html
No spot name,Pornichet,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/pornichet-s1069.html
Préfailles,Prefailles,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/prefailles-s1178.html
L'Ermitage,St Brevin Les Pins,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/ermitage-s102802.html
Les Rochelets,St Brevin Les Pins,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/les-rochelets-s102803.html
Gohaud,St Michel Chef Chef,loire-atlantique,https://www.surf-report.com/meteo-surf/meteo-surf/gohaud-s1177.html
Brétignolles,Bretignolles,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/bretignolles-s1003.html
La Sauzaie,Bretignolles,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/la-sauzaie-bretignolles-s1039.html
Les Dunes,Bretignolles,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/les-dunes-bretignolles-s1055.html
L'embarcadère,La Tranche/mer,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/embarcadere-s1031.html
No spot name,La Tranche/mer,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/la-tranche-mer-s1041.html
Sables D'olonne,Les Sables d'Olonne,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/sables-olonne-s1092.html
Bud Bud,Longeville/mer,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/bud-bud-s1005.html
No spot name,Longeville/mer,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/longeville-mer-s1095.html
Sauveterre,Olonne/mer,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/sauveterre-s1077.html
No spot name,St Gilles Croix De Vie,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/saint-gilles-croix-vie-s1082.html
No spot name,St Jean De Monts,Vendee,https://www.surf-report.com/meteo-surf/meteo-surf/saint-jean-monts-s102800.html
No spot name,Chatelaillon Plage,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/chatelaillon-plage-s1181.html
Les Boulassiers,La Bree Les Bains,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/les-boulassiers-bree-bains-s1053.html
No spot name,La Couarde,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/la-couarde-s1034.html
Côte Sauvage,La Palmyre,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/cote-sauvage-palmyre-s1017.html
Pointe De La Coubre,La Palmyre,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/pointe-coubre-s1182.html
No spot name,La Rochelle,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/la-rochelle-s1180.html
Vert Bois,Le Grand Village Plage,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/vert-bois-grand-village-plage-s1088.html
Le Ptit Bec,Les Portes En Re,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/le-ptit-bec-s1048.html
Plage Du Petit Bec,Les Portes En Re,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/plage-petit-bec-s102812.html
Pointe Du Lizay,Les Portes En Re,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/pointe-lizay-s1068.html
No spot name,Royan,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/royan-s1074.html
No spot name,Royan Pontaillac,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/royan-pontaillac-s1075.html
Chassiron,St Denis D'oleron,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/chassiron-s1014.html
Les Huttes,St Denis D'oleron,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/les-huttes-s1058.html
Oléron,St Pierre D'oleron,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/oleron-s1094.html
Les Grenettes,Ste Marie De Re,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/les-grenettes-sainte-marie-re-s1057.html
Pas Des Gouillauds,Ste Marie De Re,charente-maritime,https://www.surf-report.com/meteo-surf/meteo-surf/pas-gouillauds-s102813.html
No spot name,Cap Ferret,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/cap-ferret-s1010.html
Le Grand Crohot,Cap Ferret,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/le-grand-crohot-s1045.html
Le Truc Vert,Cap Ferret,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/le-truc-vert-s45.html
No spot name,Carcans Plage,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/carcans-plage-s1013.html
Le Gurp,Grayan Et L'hopital,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/le-gurp-s1046.html
No spot name,Hourtin,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/hourtin-s1029.html
La Salie,La Teste De Buch,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/la-salie-s1185.html
No spot name,Lacanau,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/lacanau-s1043.html
La Jenny,Le Porge,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/la-jenny-s1184.html
No spot name,Le Porge,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/le-porge-s1049.html
No spot name,Le Verdon/mer,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/le-verdon-mer-s1052.html
No spot name,Montalivet,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/montalivet-s1064.html
Le Pin Sec,Naujac/mer,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/le-pin-sec-s1183.html
